"time_index","temperature_K"
"2006-01-01",299.7844
"2006-01-02",299.5921
"2006-01-03",298.9334
"2006-01-04",299.1276
"2006-01-05",298.9439
"2006-01-06",298.8637
"2006-01-07",299.7323
"2006-01-08",299.5436
"2006-01-09",299.0259
"2006-01-10",298.8969
"2006-01-11",298.9543
"2006-01-12",298.6982
"2006-01-13",298.5985
"2006-01-14",299.1331
"2006-01-15",299.4911
"2006-01-16",299.5517
"2006-01-17",299.4929
"2006-01-18",299.7557
"2006-01-19",299.6358
"2006-01-20",299.87
"2006-01-21",300.0798
"2006-01-22",300.1785
"2006-01-23",299.7135
"2006-01-24",299.0295
"2006-01-25",298.9372
"2006-01-26",297.7838
"2006-01-27",297.3965
"2006-01-28",296.9842
"2006-01-29",297.1742
"2006-01-30",297.8302
"2006-01-31",298.537
"2006-02-01",299.0956
"2006-02-02",299.2147
"2006-02-03",299.277
"2006-02-04",300.0058
"2006-02-05",300.036
"2006-02-06",299.4278
"2006-02-07",298.0555
"2006-02-08",296.3797
"2006-02-09",297.0704
"2006-02-10",297.9658
"2006-02-11",298.033
"2006-02-12",299.4702
"2006-02-13",300.15
"2006-02-14",300.5442
"2006-02-15",300.1853
"2006-02-16",299.5327
"2006-02-17",299.8375
"2006-02-18",300.3795
"2006-02-19",300.6076
"2006-02-20",300.4153
"2006-02-21",300.5066
"2006-02-22",300.6198
"2006-02-23",300.5636
"2006-02-24",300.6923
"2006-02-25",300.4124
"2006-02-26",300.2891
"2006-02-27",299.808
"2006-02-28",298.7782
"2006-03-01",298.9128
"2006-03-02",300.4449
"2006-03-03",300.4658
"2006-03-04",300.4624
"2006-03-05",300.6246
"2006-03-06",301.0442
"2006-03-07",301.1374
"2006-03-08",300.2415
"2006-03-09",298.4209
"2006-03-10",297.3551
"2006-03-11",296.7783
"2006-03-12",297.9182
"2006-03-13",298.7108
"2006-03-14",300.5443
"2006-03-15",301.1962
"2006-03-16",300.7293
"2006-03-17",299.6965
"2006-03-18",300.5934
"2006-03-19",300.8918
"2006-03-20",300.9955
"2006-03-21",301.5956
"2006-03-22",302.0622
"2006-03-23",302.1993
"2006-03-24",302.7881
"2006-03-25",303.3501
"2006-03-26",303.0228
"2006-03-27",302.8421
"2006-03-28",301.6562
"2006-03-29",299.2215
"2006-03-30",298.953
"2006-03-31",301.3956
"2006-04-01",302.4651
"2006-04-02",303.7354
"2006-04-03",303.0072
"2006-04-04",302.8826
"2006-04-05",302.6331
"2006-04-06",302.2957
"2006-04-07",302.3042
"2006-04-08",302.7343
"2006-04-09",303.4409
"2006-04-10",304.2352
"2006-04-11",304.3778
"2006-04-12",304.4075
"2006-04-13",304.346
"2006-04-14",303.7015
"2006-04-15",301.6632
"2006-04-16",300.3022
"2006-04-17",300.7345
"2006-04-18",301.6347
"2006-04-19",303.0382
"2006-04-20",304.4877
"2006-04-21",304.3787
"2006-04-22",303.6959
"2006-04-23",303.0636
"2006-04-24",302.8265
"2006-04-25",303.4074
"2006-04-26",304.5414
"2006-04-27",305.0038
"2006-04-28",305.224
"2006-04-29",305.5091
"2006-04-30",305.3797
"2006-05-01",304.8611
"2006-05-02",304.6412
"2006-05-03",305.0144
"2006-05-04",305.1634
"2006-05-05",304.9447
"2006-05-06",304.8237
"2006-05-07",304.8052
"2006-05-08",304.9581
"2006-05-09",305.4078
"2006-05-10",305.6068
"2006-05-11",305.8547
"2006-05-12",305.9255
"2006-05-13",305.2701
"2006-05-14",304.7526
"2006-05-15",304.5157
"2006-05-16",305.2742
"2006-05-17",305.9222
"2006-05-18",306.0888
"2006-05-19",305.6787
"2006-05-20",304.9205
"2006-05-21",304.4352
"2006-05-22",304.1506
"2006-05-23",304.2197
"2006-05-24",304.2499
"2006-05-25",304.9395
"2006-05-26",305.9781
"2006-05-27",306.2848
"2006-05-28",305.7992
"2006-05-29",305.3833
"2006-05-30",304.7314
"2006-05-31",304.4832
"2006-06-01",304.8944
"2006-06-02",305.28
"2006-06-03",304.5799
"2006-06-04",303.6528
"2006-06-05",303.6065
"2006-06-06",304.0947
"2006-06-07",305.4232
"2006-06-08",305.8371
"2006-06-09",305.7028
"2006-06-10",305.3208
"2006-06-11",304.3226
"2006-06-12",303.4704
"2006-06-13",303.3512
"2006-06-14",303.5308
"2006-06-15",303.7848
"2006-06-16",304.8278
"2006-06-17",305.4126
"2006-06-18",305.0229
"2006-06-19",304.2627
"2006-06-20",303.8352
"2006-06-21",303.5524
"2006-06-22",303.6363
"2006-06-23",303.7734
"2006-06-24",303.4818
"2006-06-25",303.2191
"2006-06-26",303.2555
"2006-06-27",303.7551
"2006-06-28",304.3166
"2006-06-29",304.0906
"2006-06-30",303.4637
"2006-07-01",303.0864
"2006-07-02",302.9666
"2006-07-03",302.9152
"2006-07-04",302.8955
"2006-07-05",302.5331
"2006-07-06",302.2622
"2006-07-07",301.9531
"2006-07-08",301.6446
"2006-07-09",301.4679
"2006-07-10",301.5359
"2006-07-11",301.9961
"2006-07-12",302.2629
"2006-07-13",302.3729
"2006-07-14",302.5049
"2006-07-15",302.7621
"2006-07-16",302.7588
"2006-07-17",302.6997
"2006-07-18",302.7101
"2006-07-19",302.4979
"2006-07-20",302.3228
"2006-07-21",302.4387
"2006-07-22",302.373
"2006-07-23",302.1373
"2006-07-24",301.9103
"2006-07-25",301.899
"2006-07-26",301.9642
"2006-07-27",302.1266
"2006-07-28",301.8768
"2006-07-29",302.1419
"2006-07-30",302.419
"2006-07-31",302.5136
"2006-08-01",302.3736
"2006-08-02",302.3768
"2006-08-03",302.215
"2006-08-04",301.8632
"2006-08-05",301.9278
"2006-08-06",302.1877
"2006-08-07",302.091
"2006-08-08",301.8359
"2006-08-09",301.8473
"2006-08-10",302.059
"2006-08-11",301.1043
"2006-08-12",300.7266
"2006-08-13",300.9744
"2006-08-14",301.0303
"2006-08-15",301.0381
"2006-08-16",300.8145
"2006-08-17",300.8818
"2006-08-18",300.8918
"2006-08-19",300.6233
"2006-08-20",300.5244
"2006-08-21",300.5089
"2006-08-22",300.5899
"2006-08-23",300.8912
"2006-08-24",300.9633
"2006-08-25",300.785
"2006-08-26",300.6868
"2006-08-27",300.6899
"2006-08-28",300.8323
"2006-08-29",300.9861
"2006-08-30",301.0501
"2006-08-31",300.9178
"2006-09-01",301.1391
"2006-09-02",301.6625
"2006-09-03",302.1349
"2006-09-04",302.3224
"2006-09-05",302.3542
"2006-09-06",302.3896
"2006-09-07",302.5171
"2006-09-08",302.6207
"2006-09-09",302.5916
"2006-09-10",302.3797
"2006-09-11",301.9267
"2006-09-12",301.6291
"2006-09-13",301.5168
"2006-09-14",301.6649
"2006-09-15",302.104
"2006-09-16",302.1382
"2006-09-17",301.9931
"2006-09-18",302.0611
"2006-09-19",302.4475
"2006-09-20",302.5299
"2006-09-21",301.9545
"2006-09-22",301.7795
"2006-09-23",301.2286
"2006-09-24",300.4287
"2006-09-25",300.5676
"2006-09-26",300.4306
"2006-09-27",300.8596
"2006-09-28",300.4741
"2006-09-29",300.3101
"2006-09-30",300.1052
"2006-10-01",300.5549
"2006-10-02",301.386
"2006-10-03",301.7935
"2006-10-04",301.9336
"2006-10-05",302.3605
"2006-10-06",302.4569
"2006-10-07",302.1384
"2006-10-08",302.3829
"2006-10-09",303.0251
"2006-10-10",303.1135
"2006-10-11",302.9534
"2006-10-12",302.4946
"2006-10-13",302.7444
"2006-10-14",303.3484
"2006-10-15",303.1086
"2006-10-16",301.2339
"2006-10-17",300.2119
"2006-10-18",300.3163
"2006-10-19",301.8995
"2006-10-20",302.7705
"2006-10-21",302.9684
"2006-10-22",303.1685
"2006-10-23",303.1329
"2006-10-24",303.0302
"2006-10-25",302.9474
"2006-10-26",302.7217
"2006-10-27",301.2631
"2006-10-28",300.0853
"2006-10-29",300.3374
"2006-10-30",301.4185
"2006-10-31",302.1841
"2006-11-01",301.8292
"2006-11-02",302.0021
"2006-11-03",302.2371
"2006-11-04",301.8699
"2006-11-05",301.9016
"2006-11-06",301.8342
"2006-11-07",301.8446
"2006-11-08",301.9939
"2006-11-09",302.183
"2006-11-10",302.5027
"2006-11-11",302.7257
"2006-11-12",302.6885
"2006-11-13",301.6013
"2006-11-14",301.1174
"2006-11-15",301.1964
"2006-11-16",301.4428
"2006-11-17",301.9242
"2006-11-18",302.1064
"2006-11-19",300.7697
"2006-11-20",300.7163
"2006-11-21",300.6346
"2006-11-22",300.992
"2006-11-23",301.2451
"2006-11-24",301.8369
"2006-11-25",302.1367
"2006-11-26",301.7063
"2006-11-27",301.5344
"2006-11-28",301.3374
"2006-11-29",301.043
"2006-11-30",300.7956
"2006-12-01",300.1153
"2006-12-02",299.9195
"2006-12-03",300.0533
"2006-12-04",299.9249
"2006-12-05",299.8938
"2006-12-06",299.9317
"2006-12-07",299.7191
"2006-12-08",299.8728
"2006-12-09",300.2407
"2006-12-10",300.0189
"2006-12-11",299.7995
"2006-12-12",300.075
"2006-12-13",300.3408
"2006-12-14",299.9136
"2006-12-15",299.6841
"2006-12-16",299.5494
"2006-12-17",299.7021
"2006-12-18",299.2823
"2006-12-19",298.2351
"2006-12-20",296.3446
"2006-12-21",296.1038
"2006-12-22",297.2818
"2006-12-23",297.6377
"2006-12-24",298.1105
"2006-12-25",298.2074
"2006-12-26",297.4723
"2006-12-27",295.585
"2006-12-28",295.4722
"2006-12-29",295.5285
"2006-12-30",296.0989
"2006-12-31",296.1255
"2007-01-01",295.6543
"2007-01-02",295.0109
"2007-01-03",295.5898
"2007-01-04",296.4793
"2007-01-05",296.8404
"2007-01-06",296.2217
"2007-01-07",295.1094
"2007-01-08",295.2285
"2007-01-09",295.8799
"2007-01-10",296.5631
"2007-01-11",297.0668
"2007-01-12",297.4434
"2007-01-13",297.2204
"2007-01-14",296.9774
"2007-01-15",297.4738
"2007-01-16",297.4289
"2007-01-17",296.3123
"2007-01-18",295.2897
"2007-01-19",295.1085
"2007-01-20",295.5014
"2007-01-21",295.3907
"2007-01-22",295.5335
"2007-01-23",296.1997
"2007-01-24",297.8534
"2007-01-25",298.5482
"2007-01-26",297.6396
"2007-01-27",297.2443
"2007-01-28",297.3264
"2007-01-29",297.7531
"2007-01-30",298.5462
"2007-01-31",298.7173
"2007-02-01",298.9231
"2007-02-02",298.9679
"2007-02-03",298.8951
"2007-02-04",298.0333
"2007-02-05",297.627
"2007-02-06",298.4145
"2007-02-07",298.939
"2007-02-08",299.2439
"2007-02-09",299.2568
"2007-02-10",299.3654
"2007-02-11",299.3049
"2007-02-12",299.2808
"2007-02-13",299.3542
"2007-02-14",299.3814
"2007-02-15",299.1271
"2007-02-16",299.0877
"2007-02-17",299.1
"2007-02-18",297.9894
"2007-02-19",297.7328
"2007-02-20",298.506
"2007-02-21",298.3641
"2007-02-22",297.1982
"2007-02-23",297.2169
"2007-02-24",298.2106
"2007-02-25",299.3995
"2007-02-26",298.5403
"2007-02-27",298.3407
"2007-02-28",297.7981
"2007-03-01",298.0215
"2007-03-02",298.272
"2007-03-03",298.9649
"2007-03-04",299.105
"2007-03-05",298.93
"2007-03-06",298.9225
"2007-03-07",298.9348
"2007-03-08",298.3036
"2007-03-09",297.4541
"2007-03-10",297.3523
"2007-03-11",298.0288
"2007-03-12",299.2484
"2007-03-13",299.3533
"2007-03-14",298.2475
"2007-03-15",296.8032
"2007-03-16",296.8862
"2007-03-17",295.5308
"2007-03-18",294.6592
"2007-03-19",294.9776
"2007-03-20",295.0407
"2007-03-21",296.7525
"2007-03-22",298.5367
"2007-03-23",299.7706
"2007-03-24",300.5614
"2007-03-25",300.7438
"2007-03-26",300.8993
"2007-03-27",301.3239
"2007-03-28",301.5204
"2007-03-29",301.8951
"2007-03-30",301.7496
"2007-03-31",301.6025
"2007-04-01",300.9871
"2007-04-02",300.1919
"2007-04-03",299.7385
"2007-04-04",300.6205
"2007-04-05",300.9525
"2007-04-06",301.5387
