time_index,temperature_K
2006-01-01,298.138
2006-01-02,297.8384
2006-01-03,298.0562
2006-01-04,298.4536
2006-01-05,298.74
2006-01-06,298.9745
2006-01-07,299.123
2006-01-08,298.657
2006-01-09,298.838
2006-01-10,298.6409
2006-01-11,297.1248
2006-01-12,297.2983
2006-01-13,297.9679
2006-01-14,297.3119
2006-01-15,297.4429
2006-01-16,298.1659
2006-01-17,298.1348
2006-01-18,297.9187
2006-01-19,297.7603
2006-01-20,297.5331
2006-01-21,297.9985
2006-01-22,298.647
2006-01-23,299.3587
2006-01-24,299.2438
2006-01-25,298.9451
2006-01-26,298.4789
2006-01-27,297.773
2006-01-28,297.3346
2006-01-29,297.8823
2006-01-30,298.1738
2006-01-31,298.5335
2006-02-01,298.2943
2006-02-02,297.0108
2006-02-03,297.2286
2006-02-04,298.5297
2006-02-05,299.3736
2006-02-06,299.2375
2006-02-07,299.0985
2006-02-08,298.973
2006-02-09,299.0714
2006-02-10,299.4673
2006-02-11,299.5279
2006-02-12,299.9193
2006-02-13,300.3909
2006-02-14,300.4542
2006-02-15,300.805
2006-02-16,301.3289
2006-02-17,301.2261
2006-02-18,300.6961
2006-02-19,299.9201
2006-02-20,300.1273
2006-02-21,300.392
2006-02-22,300.8207
2006-02-23,300.9106
2006-02-24,300.3808
2006-02-25,298.6346
2006-02-26,298.3565
2006-02-27,298.7116
2006-02-28,299.0601
2006-03-01,299.7103
2006-03-02,300.2233
2006-03-03,300.3825
2006-03-04,300.4482
2006-03-05,300.2457
2006-03-06,299.4697
2006-03-07,297.5581
2006-03-08,296.89
2006-03-09,298.2428
2006-03-10,298.5332
2006-03-11,299.2813
2006-03-12,300.5171
2006-03-13,301.4293
2006-03-14,301.9934
2006-03-15,302.0591
2006-03-16,301.4632
2006-03-17,300.188
2006-03-18,299.405
2006-03-19,299.6868
2006-03-20,299.9766
2006-03-21,299.1608
2006-03-22,297.9814
2006-03-23,297.8755
2006-03-24,298.5902
2006-03-25,299.5748
2006-03-26,298.8151
2006-03-27,297.8026
2006-03-28,297.5853
2006-03-29,298.5722
2006-03-30,299.4692
2006-03-31,300.0402
2006-04-01,301.353
2006-04-02,301.564
2006-04-03,300.8329
2006-04-04,300.4109
2006-04-05,299.8918
2006-04-06,300.2897
2006-04-07,302.0652
2006-04-08,302.4547
2006-04-09,303.1219
2006-04-10,303.6259
2006-04-11,303.1778
2006-04-12,301.7419
2006-04-13,301.0028
2006-04-14,300.5591
2006-04-15,300.1336
2006-04-16,301.0497
2006-04-17,302.3255
2006-04-18,302.9767
2006-04-19,303.8315
2006-04-20,303.8781
2006-04-21,303.9245
2006-04-22,303.2869
2006-04-23,303.0638
2006-04-24,303.2527
2006-04-25,303.2818
2006-04-26,303.5287
2006-04-27,303.0354
2006-04-28,302.3962
2006-04-29,301.5656
2006-04-30,301.394
2006-05-01,302.2431
2006-05-02,303.8292
2006-05-03,304.5179
2006-05-04,304.5977
2006-05-05,304.3932
2006-05-06,304.7358
2006-05-07,305.1621
2006-05-08,305.4381
2006-05-09,305.1732
2006-05-10,305.4088
2006-05-11,305.3949
2006-05-12,304.446
2006-05-13,303.7732
2006-05-14,303.578
2006-05-15,303.4922
2006-05-16,303.1684
2006-05-17,302.7191
2006-05-18,302.3942
2006-05-19,302.0919
2006-05-20,302.3315
2006-05-21,302.5682
2006-05-22,302.6129
2006-05-23,302.3201
2006-05-24,301.7557
2006-05-25,301.9074
2006-05-26,301.3888
2006-05-27,301.046
2006-05-28,301.2794
2006-05-29,301.9156
2006-05-30,302.6794
2006-05-31,303.7847
2006-06-01,304.5966
2006-06-02,305.1349
2006-06-03,305.0044
2006-06-04,303.5179
2006-06-05,302.2787
2006-06-06,301.9131
2006-06-07,302.14
2006-06-08,302.5098
2006-06-09,302.2813
2006-06-10,301.952
2006-06-11,301.7072
2006-06-12,301.9715
2006-06-13,301.7999
2006-06-14,301.2988
2006-06-15,301.6487
2006-06-16,302.3584
2006-06-17,302.8156
2006-06-18,303.2078
2006-06-19,303.1466
2006-06-20,302.0675
2006-06-21,302.7846
2006-06-22,302.8247
2006-06-23,303.229
2006-06-24,302.7785
2006-06-25,302.6851
2006-06-26,302.6297
2006-06-27,302.8786
2006-06-28,303.1306
2006-06-29,303.2085
2006-06-30,303.1385
2006-07-01,303.6045
2006-07-02,303.5917
2006-07-03,303.5729
2006-07-04,303.4142
2006-07-05,303.4476
2006-07-06,303.5824
2006-07-07,303.3547
2006-07-08,301.998
2006-07-09,302.3821
2006-07-10,301.83
2006-07-11,301.5215
2006-07-12,301.7661
2006-07-13,302.0092
2006-07-14,301.9156
2006-07-15,301.6353
2006-07-16,301.3748
2006-07-17,301.3466
2006-07-18,301.46
2006-07-19,301.6009
2006-07-20,301.5569
2006-07-21,301.6255
2006-07-22,301.4951
2006-07-23,301.2601
2006-07-24,301.0264
2006-07-25,301.2413
2006-07-26,301.4181
2006-07-27,301.1649
2006-07-28,300.5094
2006-07-29,300.8756
2006-07-30,300.806
2006-07-31,300.9609
2006-08-01,300.7529
2006-08-02,300.7424
2006-08-03,300.8455
2006-08-04,300.7677
2006-08-05,299.7604
2006-08-06,299.6747
2006-08-07,300.2856
2006-08-08,300.1549
2006-08-09,299.4557
2006-08-10,299.2267
2006-08-11,299.8167
2006-08-12,300.1425
2006-08-13,300.2812
2006-08-14,300.4391
2006-08-15,300.3746
2006-08-16,300.2758
2006-08-17,300.2032
2006-08-18,300.2991
2006-08-19,300.3804
2006-08-20,300.3544
2006-08-21,300.6335
2006-08-22,300.6971
2006-08-23,300.5564
2006-08-24,300.3119
2006-08-25,300.4312
2006-08-26,300.3857
2006-08-27,300.4816
2006-08-28,300.5406
2006-08-29,300.5254
2006-08-30,300.5415
2006-08-31,300.421
2006-09-01,300.8065
2006-09-02,301.0027
2006-09-03,300.9611
2006-09-04,301.1547
2006-09-05,301.2194
2006-09-06,301.2107
2006-09-07,301.145
2006-09-08,301.0312
2006-09-09,301.0775
2006-09-10,300.9065
2006-09-11,300.9008
2006-09-12,301.1333
2006-09-13,301.1265
2006-09-14,301.1196
2006-09-15,301.0829
2006-09-16,301.1961
2006-09-17,300.9441
2006-09-18,300.7697
2006-09-19,300.5266
2006-09-20,300.5916
2006-09-21,300.8441
2006-09-22,300.7824
2006-09-23,300.7593
2006-09-24,300.5881
2006-09-25,300.333
2006-09-26,300.4713
2006-09-27,301.1733
2006-09-28,301.2667
2006-09-29,300.9999
2006-09-30,300.8243
2006-10-01,300.8287
2006-10-02,300.8178
2006-10-03,301.6486
2006-10-04,302.9763
2006-10-05,302.9562
2006-10-06,302.7938
2006-10-07,302.6152
2006-10-08,302.3047
2006-10-09,302.362
2006-10-10,302.7769
2006-10-11,303.3733
2006-10-12,304.5837
2006-10-13,304.5154
2006-10-14,303.7368
2006-10-15,302.8647
2006-10-16,303.3303
2006-10-17,303.142
2006-10-18,302.6942
2006-10-19,302.7879
2006-10-20,302.6504
2006-10-21,303.1058
2006-10-22,303.6357
2006-10-23,303.7009
2006-10-24,303.2722
2006-10-25,302.7748
2006-10-26,302.9944
2006-10-27,303.2913
2006-10-28,303.2546
2006-10-29,303.1679
2006-10-30,302.9817
2006-10-31,302.9545
2006-11-01,302.9077
2006-11-02,302.688
2006-11-03,302.3329
2006-11-04,301.7972
2006-11-05,301.9516
2006-11-06,302.4672
2006-11-07,302.9712
2006-11-08,302.4407
2006-11-09,302.0986
2006-11-10,301.816
2006-11-11,301.8836
2006-11-12,302.0285
2006-11-13,301.7005
2006-11-14,301.943
2006-11-15,301.9724
2006-11-16,301.555
2006-11-17,301.7719
2006-11-18,301.9962
2006-11-19,302.4731
2006-11-20,302.466
2006-11-21,302.117
2006-11-22,302.0742
2006-11-23,302.1516
2006-11-24,301.9904
2006-11-25,301.6513
2006-11-26,301.3195
2006-11-27,300.6884
2006-11-28,300.722
2006-11-29,301.6871
2006-11-30,300.907
2006-12-01,300.4892
2006-12-02,300.7616
2006-12-03,301.1412
2006-12-04,300.2365
2006-12-05,300.0479
2006-12-06,300.171
2006-12-07,299.8685
2006-12-08,299.5812
2006-12-09,299.6483
2006-12-10,300.979
2006-12-11,301.7365
2006-12-12,301.7134
2006-12-13,301.7328
2006-12-14,302.1261
2006-12-15,301.7271
2006-12-16,301.1926
2006-12-17,301.0146
2006-12-18,300.6736
2006-12-19,300.6949
2006-12-20,300.8708
2006-12-21,300.5938
2006-12-22,299.9236
2006-12-23,299.389
2006-12-24,299.171
2006-12-25,298.9684
2006-12-26,298.6456
2006-12-27,298.4384
2006-12-28,298.8969
2006-12-29,298.1799
2006-12-30,298.3986
2006-12-31,299.7379
2007-01-01,299.6273
2007-01-02,299.706
2007-01-03,300.3727
2007-01-04,300.5011
2007-01-05,300.5327
2007-01-06,299.8464
2007-01-07,299.1809
2007-01-08,299.3636
2007-01-09,299.4214
2007-01-10,298.7399
2007-01-11,298.6434
2007-01-12,298.0218
2007-01-13,297.4429
2007-01-14,296.868
2007-01-15,296.6617
2007-01-16,296.9667
2007-01-17,296.5615
2007-01-18,296.2484
2007-01-19,296.1792
2007-01-20,296.257
2007-01-21,297.1956
2007-01-22,298.0499
2007-01-23,298.4655
2007-01-24,298.6747
2007-01-25,298.7852
2007-01-26,299.2473
2007-01-27,299.9093
2007-01-28,299.827
2007-01-29,299.0416
2007-01-30,298.7035
2007-01-31,298.313
2007-02-01,298.0449
2007-02-02,297.4953
2007-02-03,297.5511
2007-02-04,298.0106
2007-02-05,297.6923
2007-02-06,297.4464
2007-02-07,297.1954
2007-02-08,297.4673
2007-02-09,298.1528
2007-02-10,298.5621
2007-02-11,298.1692
2007-02-12,296.9048
2007-02-13,297.6022
2007-02-14,297.2002
2007-02-15,296.8413
2007-02-16,297.3424
2007-02-17,298.1046
2007-02-18,298.7935
2007-02-19,296.6679
2007-02-20,295.2344
2007-02-21,297.9056
2007-02-22,298.8766
2007-02-23,299.0034
2007-02-24,300.1976
2007-02-25,300.3829
2007-02-26,300.0653
2007-02-27,299.5209
2007-02-28,297.0636
2007-03-01,297.6956
2007-03-02,298.8729
2007-03-03,299.433
2007-03-04,299.1368
2007-03-05,298.0165
2007-03-06,298.7252
2007-03-07,299.8598
2007-03-08,300.6324
2007-03-09,300.4194
2007-03-10,299.4588
2007-03-11,300.6151
2007-03-12,302.1104
2007-03-13,302.0012
2007-03-14,300.1263
2007-03-15,299.8867
2007-03-16,301.1794
2007-03-17,301.7599
2007-03-18,301.4185
2007-03-19,301.8908
2007-03-20,304.4204
2007-03-21,304.0054
2007-03-22,303.1052
2007-03-23,302.7629
2007-03-24,302.7146
2007-03-25,302.157
2007-03-26,302.2563
2007-03-27,302.553
2007-03-28,302.0614
2007-03-29,301.5368
2007-03-30,301.4579
2007-03-31,301.4158
2007-04-01,302.1725
2007-04-02,303.7656
2007-04-03,304.8274
2007-04-04,304.9368
2007-04-05,304.3574
2007-04-06,302.7354
2007-04-07,301.1253
2007-04-08,301.2325
2007-04-09,301.5256
2007-04-10,301.8171
2007-04-11,302.1053
2007-04-12,302.2556
2007-04-13,301.8751
2007-04-14,301.7388
2007-04-15,302.3699
2007-04-16,303.4561
2007-04-17,303.5331
2007-04-18,303.6903
2007-04-19,304.2234
2007-04-20,304.247
2007-04-21,304.271
2007-04-22,303.9003
2007-04-23,303.4116
2007-04-24,303.1855
2007-04-25,303.3801
2007-04-26,303.3591
2007-04-27,302.779
2007-04-28,302.9401
2007-04-29,303.1929
2007-04-30,302.7313
2007-05-01,302.8459
2007-05-02,303.8468
2007-05-03,305.0295
2007-05-04,305.5327
2007-05-05,305.8439
2007-05-06,306.1856
2007-05-07,305.5556
2007-05-08,304.5089
2007-05-09,303.7908
2007-05-10,303.7632
2007-05-11,304.5241
2007-05-12,305.0628
2007-05-13,305.1526
2007-05-14,304.4731
2007-05-15,304.4428
2007-05-16,304.2771
2007-05-17,303.9958
2007-05-18,303.9182
2007-05-19,303.964
2007-05-20,303.6961
2007-05-21,303.7283
2007-05-22,303.7036
2007-05-23,303.201
2007-05-24,302.4755
2007-05-25,302.1287
2007-05-26,302.0676
2007-05-27,302.6544
2007-05-28,302.868
2007-05-29,303.1104
2007-05-30,303.4352
2007-05-31,303.4448
2007-06-01,303.5168
2007-06-02,302.9997
2007-06-03,301.9494
2007-06-04,302.3725
2007-06-05,302.805
2007-06-06,302.9062
2007-06-07,303.5764
2007-06-08,304.7892
2007-06-09,306.1972
2007-06-10,306.7074
2007-06-11,305.0894
2007-06-12,303.5755
2007-06-13,303.6606
2007-06-14,303.3099
2007-06-15,303.8264
2007-06-16,304.3514
2007-06-17,304.3481
2007-06-18,304.0222
2007-06-19,303.3877
2007-06-20,303.8152
2007-06-21,304.0543
2007-06-22,303.974
2007-06-23,303.7551
2007-06-24,303.5417
